177617B  QLGPH(XMSG-SYMBOL-LIST)
177620B  ZXRES(XMSG-SYMBOL-LIST)
177621B  ZXRRS(XMSG-SYMBOL-LIST)
177622B  ZXTRS(XMSG-SYMBOL-LIST)
177623B  QXS12(XMSG-SYMBOL-LIST)
177624B  QXS13(XMSG-SYMBOL-LIST)
177625B  QBACK(XMSG-SYMBOL-LIST)
177626B  QMTOR(XMSG-SYMBOL-LIST)
177627B  QRTRE(XMSG-SYMBOL-LIST)
177630B  QCURP(XMSG-SYMBOL-LIST)
177631B  QRTST(XMSG-SYMBOL-LIST)
177632B  QRTEN(XMSG-SYMBOL-LIST)
177633B  QSEGT(XMSG-SYMBOL-LIST)
177634B  QSEGS(XMSG-SYMBOL-LIST)
177635B  QIDNT(XMSG-SYMBOL-LIST)
177636B  QATME(XMSG-SYMBOL-LIST)
177637B  QATM2(XMSG-SYMBOL-LIST)
177640B  QENDP(XMSG-SYMBOL-LIST)
177641B  QXMSU(XMSG-SYMBOL-LIST)
177642B  QXZRT(XMSG-SYMBOL-LIST)
177643B  QEXSE(XMSG-SYMBOL-LIST)
177644B  BAK01(XMSG-SYMBOL-LIST)
177645B  XBCKT(XMSG-SYMBOL-LIST)
177646B  QGTDF(XMSG-SYMBOL-LIST)
177647B  QSTDF(XMSG-SYMBOL-LIST)
177701B  XECRA(XMSG-SYMBOL-LIST)
177724B  XEICM(XMSG-SYMBOL-LIST)
177725B  XENCE(XMSG-SYMBOL-LIST)
177726B  XETMU(XMSG-SYMBOL-LIST)
177727B  XEIXT(XMSG-SYMBOL-LIST)
177730B  XEREJ(XMSG-SYMBOL-LIST)
177731B  XENUS(XMSG-SYMBOL-LIST)
177732B  XENTO(XMSG-SYMBOL-LIST)
177733B  XENRU(XMSG-SYMBOL-LIST)
177734B  XEPCL(XMSG-SYMBOL-LIST)
177735B  XERND(XMSG-SYMBOL-LIST)
177736B  XENSE(XMSG-SYMBOL-LIST)
177737B  XENOS(XMSG-SYMBOL-LIST)
177740B  XEILR(XMSG-SYMBOL-LIST)
177741B  XEIDP(XMSG-SYMBOL-LIST)
177742B  XEITL(XMSG-SYMBOL-LIST)
177743B  XENDP(XMSG-SYMBOL-LIST)
177744B  XEDRI(XMSG-SYMBOL-LIST)
177745B  XEXBF(XMSG-SYMBOL-LIST)
177746B  XEROV(XMSG-SYMBOL-LIST)
177747B  XERNA(XMSG-SYMBOL-LIST)
177750B  XEPVR(XMSG-SYMBOL-LIST)
177751B  XEPRV(XMSG-SYMBOL-LIST)
177752B  XEIPN(XMSG-SYMBOL-LIST)
177753B  XEILM(XMSG-SYMBOL-LIST)
177754B  XEMFL(XMSG-SYMBOL-LIST)
177755B  XEIMA(XMSG-SYMBOL-LIST)
177756B  XEILF(XMSG-SYMBOL-LIST)
177757B  XENVI(XMSG-SYMBOL-LIST)
177760B  XEWNA(XMSG-SYMBOL-LIST)
177761B  XEBNC(XMSG-SYMBOL-LIST)
177762B  XEAIN(XMSG-SYMBOL-LIST)
177763B  XEBFC(XMSG-SYMBOL-LIST)
177764B  XEMCH(XMSG-SYMBOL-LIST)
177765B  XENDM(XMSG-SYMBOL-LIST)
177766B  XEIDR(XMSG-SYMBOL-LIST)
177767B  XENOP(XMSG-SYMBOL-LIST)
177770B  XEIRT(XMSG-SYMBOL-LIST)
177771B  XEBNY(XMSG-SYMBOL-LIST)
177772B  XEIBP(XMSG-SYMBOL-LIST)
177773B  XENIM(XMSG-SYMBOL-LIST)
177774B  XETMM(XMSG-SYMBOL-LIST)
177775B  XENIR(XMSG-SYMBOL-LIST)
177776B  XEIRM(XMSG-SYMBOL-LIST)
177777B  XENOT(XMSG-SYMBOL-LIST)
